PC	.50000	-1.0	.51197	.67736	.68998	.80988	.81928	.88441	.89094	.93047	.934839	.957931	.960940	.974629	.976572	.984696	.98595	.99076	.99158	.99444	.99495	.99664	.99697	.99797	.99818	.99877
1	-1.0	.50000	.67736	.75076	.81436	.84179	.88731	.90724	.93250	.94402	.959275	.966442	.975534	.979845	.985273	.987893	.99114	.99273	.99467	.99563	.99679	.99737	.99807	.99842	.99884	.99905
2	.48803	.32264	.50000	.59947	.66870	.74359	.79940	.84225	.87539	.90197	.923034	.939311	.952470	.962495	.970701	.976887	.98196	.98580	.98893	.99129	.99322	.99466	.99585	.99675	.99746	.99802
3	.32264	.24924	.40053	.50000	.57150	.64795	.71123	.76209	.80468	.84017	.870638	.894417	.914831	.930702	.944426	.954931	.96399	.97093	.97687	.98139	.98522	.98814	.99062	.99248	.99407	.99527
4	.31002	.18564	.33130	.42850	.50000	.57732	.64285	.69924	.74577	.78799	.824059	.853955	.879141	.900233	.918040	.932657	.94495	.95499	.96341	.97021	.97589	.98044	.98422	.98726	.98975	.99174
5	.19012	.15821	.25641	.35205	.42268	.50000	.56635	.62638	.67786	.72540	.767055	.802732	.833654	.859934	.882866	.902013	.91847	.93223	.94397	.95367	.96189	.96864	.97432	.97896	.98283	.98600
6	.18072	.11269	.20060	.28877	.35715	.43365	.50000	.56261	.61636	.66787	.713057	.753427	.788634	.819569	.846648	.869999	.89021	.90756	.92246	.93508	.94583	.95488	.96254	.96894	.97432	.97879
7	.11559	.09276	.15775	.23791	.30076	.37362	.43739	.50000	.55480	.60854	.656283	.700209	.739054	.774121	.805203	.832566	.85659	.87761	.89591	.91171	.92535	.93702	.94703	.95553	.96276	.96887
8	.10906	.06750	.12461	.19532	.25423	.32214	.38364	.44520	.50000	.55442	.603718	.649899	.691356	.729447	.763593	.794397	.82158	.84578	.86714	.88589	.90230	.91658	.92898	.93968	.94891	.95682
9	.06953	.05598	.09803	.15983	.21201	.27460	.33213	.39146	.44558	.50000	.550196	.597926	.641481	.682119	.718927	.752814	.78301	.81037	.83483	.85662	.87591	.89294	.90791	.92098	.93240	.94230
10	.065161	.040725	.076966	.129362	.175941	.232945	.286943	.343717	.396282	.449804	.500000	.548547	.593459	.635880	.674830	.711113	.74371	.77375	.80093	.82543	.84741	.86703	.88448	.89991	.91353	.92550
11	.042069	.033558	.060689	.105583	.146045	.197268	.246573	.299791	.350101	.402074	.451453	.500000	.545552	.589242	.629736	.667927	.70303	.73530	.76494	.79198	.81648	.83862	.85849	.87629	.89214	.90622
12	.039060	.024466	.047530	.085169	.120859	.166346	.211366	.260946	.308644	.358519	.406541	.454448	.500000	.544068	.585701	.625259	.66178	.69610	.72778	.75703	.78381	.80826	.83044	.85051	.86856	.88476
13	.025371	.020155	.037505	.069298	.099767	.140066	.180431	.225879	.270553	.317881	.364120	.410758	.455932	.500000	.541943	.582545	.62036	.65619	.68966	.72081	.74963	.77619	.80054	.82276	.84295	.86123
14	.023428	.014727	.029299	.055574	.081960	.117134	.153352	.194797	.236407	.281073	.325170	.370264	.414299	.458057	.500000	.540750	.57942	.61634	.65117	.68391	.71448	.74290	.76917	.79339	.81559	.83586
15	.015304	.012107	.023113	.045069	.067343	.097987	.130001	.167434	.205603	.247186	.288887	.332073	.374741	.417455	.459250	.500000	.53916	.57679	.61261	.64659	.67859	.70862	.73664	.76265	.78669	.80883
16	.01405	.00886	.01804	.03601	.05505	.08153	.10979	.14341	.17842	.21699	.25629	.29697	.33822	.37964	.42058	.46084	.50000	.53796	.57441	.60929	.64241	.67376	.70323	.73084	.75657	.78046
17	.00924	.00727	.01420	.02907	.04501	.06777	.09244	.12239	.15422	.18963	.22625	.26470	.30390	.34381	.38366	.42321	.46204	.50000	.53676	.57222	.60618	.63856	.66925	.69822	.72542	.75087
18	.00842	.00533	.01107	.02313	.03659	.05603	.07754	.10409	.13286	.16517	.19907	.23506	.27222	.31034	.34883	.38739	.42559	.46324	.50000	.53574	.57023	.60336	.63501	.66510	.69356	.72038
19	.00556	.00437	.00871	.01861	.02979	.04633	.06492	.08829	.11411	.14338	.17457	.20802	.24297	.27919	.31609	.35341	.39071	.42778	.46426	.50000	.53475	.56838	.60073	.63171	.66122	.68921
20	.00505	.00321	.00678	.01478	.02411	.03811	.05417	.07465	.09770	.12409	.15259	.18352	.21619	.25037	.28552	.32141	.35759	.39382	.42977	.46525	.50000	.53387	.56667	.59830	.62864	.65760
21	.00336	.00263	.00534	.01186	.01956	.03136	.04512	.06298	.08342	.10706	.13297	.16138	.19174	.22381	.25710	.29138	.32624	.36144	.39664	.43162	.46613	.50000	.53303	.56508	.59603	.62576
22	.00303	.00193	.00415	.00938	.01578	.02568	.03746	.05297	.07102	.09209	.11552	.14151	.16956	.19946	.23083	.26336	.29677	.33075	.36499	.39927	.43333	.46697	.50000	.53226	.56360	.59391
23	.00203	.00158	.00325	.00752	.01274	.02104	.03106	.04447	.06032	.07902	.10009	.12371	.14949	.17724	.20661	.23735	.26916	.30178	.33490	.36829	.40170	.43492	.46774	.50000	.53153	.56221
24	.00182	.00116	.00254	.00593	.01025	.01717	.02568	.03724	.05109	.06760	.08647	.10786	.13144	.15705	.18441	.21331	.24343	.27458	.30644	.33878	.37136	.40397	.43640	.46847	.50000	.53086
25	.00123	.00095	.00198	.00473	.00826	.01400	.02121	.03113	.04318	.05770	.07450	.09378	.11524	.13877	.16414	.19117	.21954	.24913	.27962	.31079	.34240	.37424	.40609	.43779	.46914	.50000
